goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,league
1,6,1,81,55.1,30,61.22,9,50.0,38,1,85.14,111,56.63,2085,36,20,20,24,0,0,0,27,3,0,0,0,0,237,1,1134,19,1,9.09,94,58.39,19,40,18,0,10,4,2,10.0,0,0,0.33,0,2,0,Nemanja Matić,Sassuolo,44241,2793,Italy Serie A
6,1,0,86,49.71,37,60.66,19,48.72,24,3,88.32,123,52.56,1938,49,15,43,23,0,0,0,19,2,0,0,0,0,161,1,756,16,1,14.29,19,73.08,17,40,10,6,64,25,14,9.38,2,3,6.09,1,2,0,Scott McTominay,Napoli,879346,2714,Italy Serie A
4,2,0,28,45.9,65,68.42,1,33.33,14,0,89.61,93,59.62,1623,13,20,2,25,0,0,0,10,2,0,0,0,0,66,2,1070,6,0,0.0,26,34.21,4,106,12,2,15,6,1,26.67,0,0,2.62,1,0,0,Marc-Oliver Kempf,Como,226974,2704,Italy Serie A
0,2,0,4,80.0,14,93.33,0,0.0,2,0,46.13,18,90.0,2430,6,0,0,27,77,61,16,34,2,13,16,16,17,45,0,381,1,0,0.0,201,31.21,0,35,1,0,0,0,0,0.0,0,0,,0,1,0,Wladimiro Falcone,Lecce,256667,2689,Italy Serie A
3,2,0,31,45.59,21,44.68,6,66.67,22,3,89.29,52,45.22,1422,3,20,6,22,0,0,0,15,3,0,0,0,0,252,6,900,30,1,14.29,58,69.05,9,19,11,2,15,6,1,20.0,0,1,1.93,1,1,0,Mario Pašalić,Atalanta,190437,2686,Italy Serie A
2,2,0,62,52.99,17,41.46,9,39.13,42,0,86.41,79,50.0,1744,11,13,15,22,0,0,0,14,1,0,0,0,0,183,3,661,34,32,27.83,33,53.23,8,40,14,0,15,6,4,13.33,0,4,0.87,0,2,0,Davide Bartesaghi,Milan,1390489,2692,Italy Serie A
0,3,0,32,61.54,3,37.5,6,85.71,24,3,84.18,35,58.33,1086,3,8,3,17,0,0,0,5,1,0,0,0,0,119,3,399,18,22,27.5,18,47.37,9,29,9,0,7,1,5,0.0,0,2,0.29,0,0,0,Lorenzo Bernasconi,Atalanta,1012177,2686,Italy Serie A
2,0,0,36,62.07,6,40.0,17,58.62,7,0,82.52,42,57.53,327,12,5,4,12,0,0,0,3,0,0,0,0,0,62,0,118,2,2,20.0,13,81.25,1,7,1,0,10,4,2,20.0,0,0,0.66,0,0,0,Junior Messias,Genoa,888219,2713,Italy Serie A
3,3,0,36,37.5,4,22.22,19,38.0,10,3,81.57,40,35.09,925,7,19,12,16,0,0,0,6,1,0,0,0,0,141,9,270,21,13,24.53,4,66.67,1,2,2,0,17,4,7,17.65,1,0,1.54,0,0,0,David Neres,Napoli,850993,2714,Italy Serie A
0,0,0,0,0.0,0,0.0,0,0.0,0,0,93.33,0,0.0,32,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,14,1,0,0.0,0,0.0,0,2,1,0,0,0,0,0.0,0,0,,0,0,0,Matías Pérez,Lecce,1801193,2689,Italy Serie A
